event_date,dau
2022-03-31,158
2022-04-01,1363
2022-04-02,1452
2022-04-03,1565
2022-04-04,1376
2022-04-05,1505
2022-04-06,1452
2022-04-07,1435
2022-04-08,1570
2022-04-09,1520
2022-04-10,1646
2022-04-11,1482
2022-04-12,1373
2022-04-13,1556
2022-04-14,1754
2022-04-15,1733
2022-04-16,1613
2022-04-17,1479
2022-04-18,1457
2022-04-19,1574
2022-04-20,1709
2022-04-21,1631
2022-04-22,1553
2022-04-23,1698
2022-04-24,1698
2022-04-25,1558
2022-04-26,1460
2022-04-27,1360
2022-04-28,1328
2022-04-29,1385
2022-04-30,1573
2022-05-01,1663
2022-05-02,1906
2022-05-03,1941
2022-05-04,1896
2022-05-05,1382
2022-05-06,1297
2022-05-07,1325
2022-05-08,1378
2022-05-09,1219
2022-05-10,1109
2022-05-11,1103
2022-05-12,1047
2022-05-13,1038
2022-05-14,1135
2022-05-15,1291
2022-05-16,1120
2022-05-17,1125
2022-05-18,1185
2022-05-19,1150
2022-05-20,1032
2022-05-21,1002
2022-05-22,1141
2022-05-23,1113
2022-05-24,1107
2022-05-25,1202
2022-05-26,1147
2022-05-27,1211
2022-05-28,1251
2022-05-29,1209
2022-05-30,1196
2022-05-31,1300
2022-06-01,1417
2022-06-02,1328
2022-06-03,1162
2022-06-04,1329
2022-06-05,1474
2022-06-06,1432
2022-06-07,1424
2022-06-08,1488
2022-06-09,1460
2022-06-10,1201
2022-06-11,1281
2022-06-12,1447
2022-06-13,1309
2022-06-14,1322
2022-06-15,1189
2022-06-16,1180
2022-06-17,1085
2022-06-18,1107
2022-06-19,1099
2022-06-20,1157
2022-06-21,1217
2022-06-22,1207
2022-06-23,1005
2022-06-24,950
2022-06-25,977
2022-06-26,1116
2022-06-27,1042
2022-06-28,1130
2022-06-29,606
